biscuit ,ceiling ,
attention ,
author ,bit ,cell ,
available ,blackboard ,centimeter ,
average ,blame ,central ,
avoid ,blank ,century ,
backpack ,blanket ,cereal ,
backward ,blood ,chain ,
backward, backwards,board ,chalk ,
,boil ,challenge ,
badminton ,
,bone ,channel ,
bake ,bookstore ,chapter ,
bakery ,border ,character ,
balance ,bother ,charge ,
balcony ,brain ,chart ,
balloon ,branch ,chase ,
bar ,brand ,cheat ,
barbecue ,brief ,cheer ,
barber ,brilliant ,chemical ,
bark ,broad ,chess ,
base ,brush ,chief ,
basic ,building ,childhood ,
basics ,bun ,childish ,
basis ,burden ,china ,
bathe ,burn ,chopstick ,
battle ,burst ,claim ,
beard ,businessman ,clap ,
beat ,cabbage ,classic ,
beauty ,classical ,
beer ,cage ,classmate ,
beg ,calendar ,clever ,
beginner ,click ,
behave ,camel ,climate ,
being ,cancel ,cloth ,
belief ,cancer ,clothing ,
bend ,candle ,cloudy ,
better ,capital ,coal ,
beyond ,cartoon ,coast ,
bill ,cash ,cockroach, roach ,
billion ,castle ,cocoa ,
birth ,cause ,coin ,
,

cola, Coke ,culture ,difficulty ,
college ,cure ,direct ,
comb ,curious ,direction ,
combine ,current ,director ,
comic ,curtain ,disagree,
command ,custom ,disappear ,
commercial ,customer ,discover ,
company ,cycle ,discovery ,
compare ,daily ,discuss ,
complete ,damage ,discussion ,
complex ,dancer ,disease ,
concern ,danger ,display ,
conclude ,data ,distance ,
condition ,deaf ,distant ,
confident ,debate ,divide ,
conflict ,debt ,division ,
congratulation ,decision ,domestic ,
connection ,deer ,dot ,
consider ,degree ,double ,
consideration ,delay ,doubt ,
contact ,delicious ,dove ,
contain ,deliver ,download ,
continue ,delivery ,downstairs ,
contract ,dentist ,dragon ,
control ,deny ,drama ,
conversation ,department ,drawer ,
corn ,depend ,drawing ,
countryside ,depth ,drug ,
couple ,describe ,dryer ,
courage ,description ,due ,
court ,desert ,dull ,
cowboy ,design ,duty ,
crayon ,detail ,eagle ,
cream ,develop,earn ,
create ,dial ,earring ,
crime ,dialogue ,earthquake ,
crisis ,diamond ,ease ,
crow ,diary ,eastern ,
crowd ,diet ,edge ,
cultural ,difference ,edition ,
,
expression ,forgive ,
education ,
effect ,extra ,form ,
effective ,eyebrow, brow ,formal ,
effort ,factor ,former ,
elder ,failure ,forth ,
electric ,fair ,forward ,
electrical ,false ,forward, forwards ,
emotion ,fashion ,found ,
emphasize ,fate ,fox ,
employ,fault ,freedom ,
employee ,favor ,friendship ,
employer ,favorite ,fries ,
empty ,fear ,fry ,
encourage,feature ,function ,
ending ,fee ,furniture ,
enemy ,feeling ,further ,
energy ,fellow ,gain ,
engine ,female ,garbage ,
entire ,fever ,gardener ,
entrance ,field ,garlic ,
environment ,figure ,gather ,
environmental ,final ,general ,
equal ,fireman, firewoman ,generous ,
escape ,firm ,gentle ,
especially ,fisherman ,gentleman ,
essay ,fit ,giraffe ,
eve ,fix ,glue ,
event ,flag ,goal ,
evil ,flat ,goat ,
exact ,flight ,gold ,
examination, exam ,flow ,golden ,
examine ,flu ,goose ,
excite,focus ,govern ,
excuse ,fog ,government ,
exist ,folk ,gradual ,
existence ,following ,grain ,
exit ,foolish ,gram ,
expense ,football ,grand ,
expert ,force ,grape ,
express ,forest ,greet ,
,

growth ,income ,latter ,
guard ,increase ,law ,
guava ,indeed ,lay ,
guest ,independence ,leadership ,
guide ,independent ,leaf ,
gun ,indicate ,legal ,
gymnasium, gym ,individual ,lend ,
haircut ,industry ,length ,
hall ,influence ,lens ,
hamburger, burger ,ink ,liberal ,
handle ,insist ,lid ,
handsome ,instance ,lift ,
hardly ,instant ,likely ,
heaven ,instead ,limit ,
hero, heroine ,instruction ,link ,
highly ,instrument ,liquid ,
highway ,internal ,listener ,
hike ,international ,liver ,
hip ,Internet, internet ,load ,
hippopotamus, hippo ,introduce ,local ,
historical ,introduction ,lone ,
hole ,iron ,loss ,
hop ,jam ,lower ,
host, hostess ,jog ,luck ,
huge ,joint ,magazine ,
human ,journal ,maintain ,
humble ,judge ,major ,
hunt ,judgment, judgement ,male ,
hunter ,justice ,manage,
hurry ,keeper ,manager ,
ideal ,ketchup ,mango ,
identity ,kilogram ,manner ,
ignore ,lack ,marriage ,
ill ,lady ,marry ,
image ,ladybug ,mask ,
imagine ,lamb ,mass ,
importance ,lane ,master ,
impressive ,lantern ,mat ,
improve,lap ,match ,
include ,latest ,mate ,
,
negative ,pardon ,
material ,
mature ,neighbor ,participate ,
meaning ,particular ,
means ,,partner ,
,nephew ,
measure,password ,
medical ,nerve ,paste ,
melody ,nervous ,path ,
membership ,network ,patient ,
memory ,niece ,pattern ,
mention ,nod ,peace ,
message ,none ,peaceful ,
metal ,noodle ,peach ,
meter ,nor ,peak ,
method ,northern ,pear ,
midnight ,notebook ,per ,
mile ,novel ,perfect ,
military ,nut ,period ,
minor ,obey ,personal ,
minority ,object ,personality ,
mirror ,obvious ,phrase ,
mix ,occur ,pillow ,
mixture ,ocean ,pizza ,
model ,offer ,plain ,
mood ,official ,platform ,
mop ,operate ,playground ,
motion ,operator ,pleasant ,
motorcycle ,opinion ,plus ,
mug ,ordinary ,poem ,
musical ,organ ,poet ,
musician ,organization ,poetry ,
nail ,origin ,poison ,
narrow ,owner ,policeman, cop ,
nation ,pain ,policy ,
natural ,painful ,pop ,
naughty ,painting ,population ,
nearby ,pajamas ,pork ,
nearly ,pale ,port ,
necessary ,pan ,pose ,
necklace ,panda ,position ,
needle ,papaya ,positive ,
,

possibility ,purple ,review ,
post ,purpose ,riches ,
postcard ,puzzle ,rocky ,
pound ,quality ,role ,
powerful ,quantity ,roof ,
praise ,quiz ,rooster ,
pray ,railroad, railway ,royal ,
prayer ,raincoat ,rub ,
prefer ,range ,rubber ,
president ,rapid ,rude ,
press ,rare ,runner ,
pressure ,rat ,safety ,
pride ,rather ,sail ,
priest ,reality ,sailor ,
primary ,realize ,salesperson,
prince, princess ,receive ,saleswoman ,
principal ,recent ,salty ,
principle ,record ,sample ,
print ,recover ,sand ,
printer ,refrigerator, fridge ,sandwich ,
prison ,refuse ,satisfy ,
prisoner ,regard ,saw ,
private ,region ,scare ,
prize ,regular ,scared ,
produce ,reject ,scene ,
production ,relate ,schedule ,
progress ,relation ,scooter ,
project ,relationship ,score ,
promise ,religion ,screen ,
proper ,remove ,seafood ,
propose ,rent ,search ,
protect ,repair ,secondary ,
protective ,reply ,secret ,
prove ,require,section ,
provide ,respect ,seek ,
pudding ,respond ,seem ,
pumpkin ,responsible ,seesaw ,
punish,restroom ,seldom ,
pupil ,result ,select ,
puppy ,return ,selection ,
,
snowy ,strawberry ,
self ,
selfish ,soap ,stream ,
sense ,soccer ,stress ,
sensitive ,social ,stretch ,
separate ,society ,strict ,
servant ,sock ,strike ,
serve ,soda ,struggle ,
settle,soft ,style ,
sex ,soil ,subway,
shame ,solution ,metro ,
shark ,solve ,succeed ,
sheet ,somewhat ,success ,
shelf ,sort ,such ,
shell ,soul ,sudden ,
shine ,sour ,suggest ,
shock ,source ,suit ,
shoot ,southern ,suitable ,
shopkeeper ,soybean ,super ,
shore ,speaker ,supper ,
shot ,speech ,supply ,
shut ,speed ,support ,
shy ,spelling ,suppose ,
sidewalk ,spider ,surf ,
silence ,spirit ,surface ,
silent ,spoon ,survival ,
silly ,sport ,survive ,
silver ,spot ,swallow ,
similar ,spread ,sweater ,
simply ,stage ,sweep ,
single ,stamp ,swim ,
skill ,standard ,swimsuit ,
skilled ,state,swing ,
skin ,steak ,switch ,
sleepy ,steel ,symbol ,
slide ,step ,system ,
slip ,stick ,tale ,
slipper ,stomachache ,target ,
smooth ,stone ,task ,
snack ,storm ,tax ,
snail ,stranger ,teapot ,
,

tear ,true ,weight ,
technology ,trust ,western ,
teens ,truth ,whale ,
temperature ,tube ,whatever ,
term ,turtle ,wheel ,
terrorism ,typhoon ,whenever ,
terrorist ,typical ,wherever ,
text ,ugly ,whisper ,
textbook ,umbrella ,whoever ,
therefore ,unit ,whole ,
thief ,universe ,whom ,
thirsty ,university ,width ,
thought ,unless ,wild ,
throughout ,upload ,willing ,
thunder ,upon ,windy ,
thus ,upper ,wine ,
till ,upset ,wing ,
tiny ,upstairs ,wire ,
tire ,used ,within ,
tissue ,user ,wolf ,
title ,usual ,wonder ,
toast ,vacation ,wood ,
tofu ,valley ,wooden ,
tone ,valuable ,wool ,
tongue ,value ,workbook ,
toothache ,victory ,worm ,
toothbrush ,view ,worse ,
tour ,village ,worst  ,
toward, towards ,vote ,worth ,
track ,waist ,wound ,
trade ,waiter, waitress ,yam ,
tradition ,wallet ,youth ,
traditional ,war ,zebra ,
trap ,wash ,
trash ,waste ,
travel ,watermelon ,
treasure ,wealth ,
trial ,wedding ,
triangle ,weekday ,
trick ,weigh ,
,
